,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
29,29,term:36,0.07098213464309101,5.632649239879423e-07,term,5.459984882833986,5.0,-0.45998488283398586,5.0
30,30,emp_length:1,0.09660855110813167,0.00019586066927944936,emp_length,7.431182948429903,7.0,-0.43118294842990323,7.0
31,31,emp_length:2-4,0.1236237198250587,6.092967125872964e-11,emp_length,9.509204601952945,10.0,0.4907953980470552,10.0
32,32,emp_length:5-6,0.08822414996928113,3.8082347310876435e-05,emp_length,6.786250195985612,7.0,0.21374980401438837,7.0
33,33,emp_length:7-9,0.06033297301400217,0.003730562045703925,emp_length,4.64084550639738,5.0,0.3591544936026203,5.0
34,34,emp_length:10,0.12741691986606293,4.942335824062484e-12,emp_length,9.800979637820568,10.0,0.1990203621794322,10.0
35,35,issue_d_month:<133,0.75823326760403,8.484853892328955e-136,issue_d_month,58.32372046284716,58.0,-0.32372046284716305,58.0
36,36,issue_d_month:134-141,0.4053506810429044,1.6138844926607187e-38,issue_d_month,31.179797590887745,31.0,-0.17979759088774472,31.0
37,37,issue_d_month:142-153,0.1252542509283016,7.445795685274443e-05,issue_d_month,9.634625952261173,10.0,0.3653740477388272,10.0
38,38,issue_d_month:154-172,0.003369829529911616,0.9146827632473119,issue_d_month,0.25920914302674963,0.0,-0.25920914302674963,0.0
39,39,int_rate:<9.548,1.101514194495774,1.0564007570558766e-49,int_rate,84.72907838591429,85.0,0.27092161408570803,85.0
40,40,int_rate:9.548-12.025,0.7317570539677484,2.4647223566394455e-59,int_rate,56.28715553090127,56.0,-0.28715553090127344,56.0
41,41,int_rate:12.025-15.74,0.44645206079586014,1.2070473849487488e-33,int_rate,34.34133835382957,34.0,-0.34133835382957045,34.0
42,42,int_rate:15.74-20.281,0.20094924237892184,5.85095696679997e-12,int_rate,15.457126375849965,15.0,-0.45712637584996507,15.0
43,43,months_since_earliest_date:149-217,-0.02346037707402885,0.8366175008486285,months_since_earliest_date,-1.8045851229165646,-2.0,-0.1954148770834354,-2.0
44,44,months_since_earliest_date:218-272,0.0240821554048547,0.8298905947444881,months_since_earliest_date,1.8524126545039556,2.0,0.14758734549604435,2.0
45,45,months_since_earliest_date:273-340,-0.0022591986561696347,0.98386214516201,months_since_earliest_date,-0.17377880465314657,-0.0,0.17377880465314657,-0.0
46,46,months_since_earliest_date:341-394,0.0695278953043296,0.5350385904348065,months_since_earliest_date,5.348123992124176,5.0,-0.3481239921241759,5.0
47,47,months_since_earliest_date:395-503,0.058195356827178274,0.6041609720256703,months_since_earliest_date,4.476418892235308,4.0,-0.47641889223530764,4.0
48,48,months_since_earliest_date:>504,0.0747164218661078,0.5145142992702592,months_since_earliest_date,5.747228312301859,6.0,0.2527716876981412,6.0
